,,,,,alpha_hat,alpha_hat,alpha_hat
,,,,,count,mean,std
alpha,dim,b,xsize,ysize,,,
0.1,10,b0.1,1000,500,86,0.19032277799842606,0.04157249381735243
0.1,10,b0.1,1000,1000,92,0.17168776536106328,0.04568873632579195
0.1,20,b0.1,50,50,105,0.17375790518235917,0.06687903289577334
0.1,20,b0.1,100,50,102,0.16938440346122985,0.06306174867082386
0.1,20,b0.1,100,100,104,0.16411671043045567,0.052551178443111676
0.1,20,b0.1,200,50,91,0.17718545030782565,0.07105710505184895
0.1,20,b0.1,200,100,99,0.16651753906223513,0.041559542656900615
0.1,20,b0.1,200,200,96,0.1529097596362309,0.04661620385664531
0.1,20,b0.1,500,50,82,0.18924544947318594,0.05243741830672818
0.1,20,b0.1,500,100,86,0.17432733355256794,0.05187493316962488
0.1,20,b0.1,500,200,83,0.172261436024945,0.04444539855396935
0.1,20,b0.1,500,500,81,0.15658547641002332,0.03791226680762502
0.1,20,b0.1,1000,50,62,0.20693095837752729,0.05554471290011181
0.1,20,b0.1,1000,100,65,0.17686349727790676,0.04709725099457379
0.1,20,b0.1,1000,200,66,0.15707456526033164,0.048444448446487764
0.1,20,b0.1,1000,500,67,0.1649654264495167,0.038232764257074614
0.1,20,b0.1,1000,1000,56,0.15272006761542034,0.03512845028536773
0.3,1,b0.1,50,50,79,0.4378510148382502,0.4634695132874656
0.3,1,b0.1,100,50,74,0.4621533062258655,0.46116201437943116
0.3,1,b0.1,100,100,78,0.5873537478281653,0.4328229951973937
0.3,1,b0.1,200,50,71,0.5092437088219165,0.45953059976076516
0.3,1,b0.1,200,100,74,0.49118187289182585,0.4602302582478721
0.3,1,b0.1,200,200,72,0.4889570988791804,0.449786219188093
0.3,1,b0.1,500,50,60,0.6866779719900279,0.41988597992169135
0.3,1,b0.1,500,100,67,0.654526791228968,0.4092015009284564
0.3,1,b0.1,500,200,60,0.5259745932576727,0.4489277015625004
0.3,1,b0.1,500,500,57,0.5304709783905793,0.41660859594698507
0.3,1,b0.1,1000,50,41,0.710206667971716,0.41270387371338074
0.3,1,b0.1,1000,100,45,0.6365812811087365,0.43094343624266285
0.3,1,b0.1,1000,200,47,0.6781851013883353,0.39846027524495164
0.3,1,b0.1,1000,500,47,0.6099653246533506,0.3950753323381535
0.3,1,b0.1,1000,1000,49,0.5344193562512135,0.4074149484779865
0.3,2,b0.1,50,50,57,0.30647743881049294,0.3019990474879726
0.3,2,b0.1,100,50,57,0.29779799710218785,0.29876800457870645
0.3,2,b0.1,100,100,59,0.2728668948215799,0.24826545486596632
0.3,2,b0.1,200,50,47,0.32704130537835113,0.2803477680392274
0.3,2,b0.1,200,100,50,0.2925998099706055,0.25388938844855635
0.3,2,b0.1,200,200,54,0.28406972571003686,0.20888886104188675
0.3,2,b0.1,500,50,44,0.442178606729288,0.27298346736408685
0.3,2,b0.1,500,100,41,0.39022516174915295,0.2515848755222143
0.3,2,b0.1,500,200,42,0.35955612863250697,0.18122619034192178
0.3,2,b0.1,500,500,47,0.26048035189912366,0.1523976344774857
0.3,2,b0.1,1000,50,35,0.4121310859254406,0.27545196212524004
0.3,2,b0.1,1000,100,32,0.41160354141371935,0.17494637433160654
0.3,2,b0.1,1000,200,40,0.35435025674509385,0.19298982711352994
0.3,2,b0.1,1000,500,37,0.29933164034739074,0.1597527704131208
0.3,2,b0.1,1000,1000,39,0.3092872364220429,0.10120622001813127
0.3,5,b0.1,50,50,51,0.29530259005375065,0.163623298418166
0.3,5,b0.1,100,50,48,0.27562346582139013,0.16386775285864777
0.3,5,b0.1,100,100,53,0.27427044680091367,0.12204239139056225
0.3,5,b0.1,200,50,43,0.28245638025680464,0.15387338505482123
0.3,5,b0.1,200,100,48,0.29395509022894,0.10673433706700633
0.3,5,b0.1,200,200,49,0.26882795830715045,0.08841970810614587
0.3,5,b0.1,500,50,37,0.2907408587891071,0.1387390493343593
0.3,5,b0.1,500,100,43,0.28446784550051674,0.1084212005818972
0.3,5,b0.1,500,200,47,0.3027425647184384,0.06350409657208243
0.3,5,b0.1,500,500,46,0.29309304953107,0.05218888620540749
0.3,5,b0.1,1000,50,34,0.35916877473470665,0.06782330234230667
0.3,5,b0.1,1000,100,36,0.28391723076621567,0.1049173757727961
0.3,5,b0.1,1000,200,39,0.2974892725500146,0.07299769245542703
0.3,5,b0.1,1000,500,42,0.2869789297694022,0.05196877635721247
0.3,5,b0.1,1000,1000,38,0.3041220303666709,0.02913569225648471
0.3,10,b0.1,50,50,38,0.30108040353615495,0.07919726356950077
0.3,10,b0.1,100,50,38,0.2778346404025784,0.08919998114605113
0.3,10,b0.1,100,100,39,0.30236868021400926,0.045221839013777014
0.3,10,b0.1,200,50,39,0.30115063000150233,0.09013576212630194
0.3,10,b0.1,200,100,37,0.30302838653856895,0.054801335812920626
0.3,10,b0.1,200,200,39,0.2906540800050956,0.032518895309635455
0.3,10,b0.1,500,50,37,0.2745595319676516,0.09635845932485898
0.3,10,b0.1,500,100,37,0.3131640930557042,0.041874767321710624
0.3,10,b0.1,500,200,39,0.2897911836475187,0.042429262111569374
0.3,10,b0.1,500,500,39,0.30048246926083655,0.022776587510725557
0.3,10,b0.1,1000,50,33,0.31078697492761653,0.06148767279777267
0.3,10,b0.1,1000,100,34,0.3051416231001416,0.04967056202969375
0.3,10,b0.1,1000,200,33,0.29622874214824935,0.04558374818610748
0.3,10,b0.1,1000,500,31,0.3004983295706372,0.01763452066933543
0.3,10,b0.1,1000,1000,27,0.30084921300220496,0.01682548725653768
0.3,20,b0.1,50,50,26,0.2812962729579706,0.0492875416854578
0.3,20,b0.1,100,50,25,0.29611891553826547,0.03835617194700397
0.3,20,b0.1,100,100,24,0.30937878989560014,0.030926816181968624
0.3,20,b0.1,200,50,24,0.2808148581581025,0.058488084778491684
0.3,20,b0.1,200,100,24,0.30300400345261835,0.036844421698191895
0.3,20,b0.1,200,200,23,0.3063996562336585,0.021033010674878432
0.3,20,b0.1,500,50,23,0.30744663596641514,0.030407495273007724
0.3,20,b0.1,500,100,21,0.29958216809024246,0.040424772630378726
0.3,20,b0.1,500,200,22,0.2985950671156536,0.02886256273527848
0.3,20,b0.1,500,500,21,0.3026818601049175,0.0149427419408025
0.3,20,b0.1,1000,50,19,0.3089520312294269,0.06176911532075015
0.3,20,b0.1,1000,100,17,0.3053770369016937,0.03126146100872301
0.3,20,b0.1,1000,200,15,0.30638783124991975,0.027872365610030786
0.3,20,b0.1,1000,500,14,0.3038835723975456,0.021226604927760528
0.3,20,b0.1,1000,1000,13,0.299792696453146,0.009216042294165646
0.7,1,b0.1,50,50,10,0.38298535885798735,0.4862994457139267
0.7,1,b0.1,100,50,12,0.37161697636212637,0.453115111428848
0.7,1,b0.1,100,100,10,0.29812711435438,0.4170104560813638
0.7,1,b0.1,200,50,8,0.6005246003197893,0.4928647587745423
0.7,1,b0.1,200,100,12,0.48238964972537857,0.45600154544991034
0.7,1,b0.1,200,200,9,0.47760509693431186,0.4380367376876836
0.7,1,b0.1,500,50,10,0.18693172411362255,0.37832543740170527
0.7,1,b0.1,500,100,7,0.6723678596036775,0.4471750850605419
0.7,1,b0.1,500,200,11,0.6445978367561881,0.41241166958832975
0.7,1,b0.1,500,500,7,0.5091778282450052,0.4673156768416756
0.7,1,b0.1,1000,50,8,0.7376049434727923,0.35546674659937655
0.7,1,b0.1,1000,100,7,0.6014530522987142,0.4522173161256805
0.7,1,b0.1,1000,200,5,0.3762144716313678,0.5063648002672495
0.7,1,b0.1,1000,500,4,0.6468721960695509,0.4181516068698751
0.7,1,b0.1,1000,1000,5,0.7069485360515095,0.3909446134796475
0.7,2,b0.1,50,50,7,0.7012804252909957,0.1702308250140843
0.7,2,b0.1,100,50,7,0.7435953777509499,0.16334561217666785
0.7,2,b0.1,100,100,7,0.6286687484538156,0.35077838088911556
0.7,2,b0.1,200,50,7,0.6912640236567978,0.1937760109653822
0.7,2,b0.1,200,100,7,0.8265031059446751,0.21877242511899528
0.7,2,b0.1,200,200,7,0.6482965964148474,0.2826495335283578
0.7,2,b0.1,500,50,7,0.6456708580375539,0.2163285003950874
0.7,2,b0.1,500,100,7,0.6827996848887227,0.20547462613782702
0.7,2,b0.1,500,200,6,0.7370531718610391,0.2708061143173912
0.7,2,b0.1,500,500,6,0.7204854707719385,0.10178902849600703
0.7,2,b0.1,1000,50,6,0.5813441530981297,0.3117141384156258
0.7,2,b0.1,1000,100,6,0.7713575480483619,0.2569726351038508
0.7,2,b0.1,1000,200,6,0.6050546696378732,0.17128869580092346
0.7,2,b0.1,1000,500,6,0.7772614238725238,0.14065587436068847
0.7,2,b0.1,1000,1000,6,0.6396596369381516,0.06613973614509604
0.7,5,b0.1,50,50,6,0.6973595488616885,0.14124772710408098
0.7,5,b0.1,100,50,6,0.6484628757453086,0.1417275383645999
0.7,5,b0.1,100,100,6,0.718218230039243,0.08232090734958615
0.7,5,b0.1,200,50,6,0.7623495330704656,0.18021980105856508
0.7,5,b0.1,200,100,6,0.7215603811508181,0.08490631195328682
0.7,5,b0.1,200,200,6,0.7712281630807151,0.1269169701928674
0.7,5,b0.1,500,50,6,0.7273380759970846,0.12038427854815097
0.7,5,b0.1,500,100,6,0.7785172971748532,0.13378909320599702
0.7,5,b0.1,500,200,6,0.7120483756675212,0.07400690266047134
0.7,5,b0.1,500,500,5,0.7104070192043969,0.061245288300718535
0.7,5,b0.1,1000,50,4,0.7440469014724309,0.0687975500956134
0.7,5,b0.1,1000,100,4,0.8111425359347002,0.08244681560841521
0.7,5,b0.1,1000,200,4,0.6974663602911919,0.0845920800193621
0.7,5,b0.1,1000,500,4,0.6843802752425642,0.0401314468926652
0.7,5,b0.1,1000,1000,4,0.6990387807779783,0.03597785061794742
0.7,10,b0.1,50,50,4,0.6909765786592781,0.14831892303190478
0.7,10,b0.1,100,50,4,0.7065636024728801,0.059413996430764476
0.7,10,b0.1,100,100,4,0.7002413821688185,0.03138308038485142
0.7,10,b0.1,200,50,4,0.6042226771624251,0.0281313058032618
0.7,10,b0.1,200,100,4,0.68909622030327,0.054748200599458244
0.7,10,b0.1,200,200,4,0.6584833345980547,0.06719829025566211
0.7,10,b0.1,500,50,4,0.6656816729898283,0.06285338396433002
0.7,10,b0.1,500,100,4,0.6561555670296306,0.07285405330707188
0.7,10,b0.1,500,200,4,0.6755838382066905,0.022860975604333898
0.7,10,b0.1,500,500,4,0.6916469957581208,0.014139424309167896
0.7,10,b0.1,1000,50,3,0.7255605173431044,0.0912238879218224
0.7,10,b0.1,1000,100,3,0.6679878380397799,0.03290441468159083
0.7,10,b0.1,1000,200,3,0.683636435208418,0.023999401607384854
0.7,10,b0.1,1000,500,3,0.7004928700271945,0.016374243675588603
0.7,10,b0.1,1000,1000,3,0.7061787406899395,0.006816275237904208
0.7,20,b0.1,50,50,3,0.706759765036284,0.0139842074368362
0.7,20,b0.1,100,50,3,0.637385230964531,0.040862464013455925
0.7,20,b0.1,100,100,3,0.7016580959042406,0.08234844494106261
0.7,20,b0.1,200,50,3,0.6815810217878068,0.05821095759286357
0.7,20,b0.1,200,100,3,0.7225751649236871,0.04386566571521657
0.7,20,b0.1,200,200,3,0.7056001816532828,0.057292664687577446
0.7,20,b0.1,500,50,3,0.6939208119862617,0.07040397637743814
0.7,20,b0.1,500,100,3,0.6801357252489274,0.06148704146406186
0.7,20,b0.1,500,200,3,0.7482264045349781,0.06176883071225828
0.7,20,b0.1,500,500,3,0.7172159391777487,0.014945180578252996
0.7,20,b0.1,1000,50,3,0.6460755168512473,0.07030970315522861
0.7,20,b0.1,1000,100,3,0.6934754820614929,0.03164237860434203
0.7,20,b0.1,1000,200,3,0.6700781447984362,0.049411197955066925
0.7,20,b0.1,1000,500,3,0.6912741975413282,0.005811376911624338
0.7,20,b0.1,1000,1000,2,0.6972629967241646,0.01708478811378719
0.9,1,b0.1,50,50,1,0.010590597398484433,
0.9,1,b0.1,100,50,1,0.8351143963657982,
0.9,1,b0.1,100,100,1,0.005819135125976453,
0.9,1,b0.1,200,50,1,0.9936036177060052,
0.9,1,b0.1,200,100,1,0.00679541573130319,
0.9,1,b0.1,200,200,1,0.8519496376029724,
0.9,1,b0.1,500,50,0,,
0.9,1,b0.1,500,100,1,0.8797211798911788,
0.9,1,b0.1,500,200,1,0.00846130029214085,
0.9,1,b0.1,500,500,1,0.42139746381146004,
0.9,1,b0.1,1000,50,0,,
