,,,,,alpha_hat,alpha_hat,alpha_hat
,,,,,count,mean,std
alpha,dim,b,xsize,ysize,,,
0.1,10,bAUTO,1000,100,139,0.20055870747273175,0.0638988510005743
0.1,10,bAUTO,1000,200,150,0.19544650230028746,0.059547528982460046
0.1,10,bAUTO,1000,500,155,0.19201409564427943,0.04748529815084868
0.1,10,bAUTO,1000,1000,150,0.17992480219415646,0.03837477296087457
0.1,20,bAUTO,50,50,193,0.17588277159925414,0.09587966966942289
0.1,20,bAUTO,100,50,177,0.18852026421825807,0.08886249968270298
0.1,20,bAUTO,100,100,180,0.17884348517077306,0.07241544668263133
0.1,20,bAUTO,200,50,165,0.19871675751935575,0.08484251618472129
0.1,20,bAUTO,200,100,179,0.1681167772391328,0.07159621432238794
0.1,20,bAUTO,200,200,180,0.17635466151319176,0.05396705641196444
0.1,20,bAUTO,500,50,146,0.21940388607606867,0.07583203958933503
0.1,20,bAUTO,500,100,154,0.20165931961675604,0.06421553314693257
0.1,20,bAUTO,500,200,152,0.1783665410908198,0.05778913923143393
0.1,20,bAUTO,500,500,165,0.17755323448417504,0.040617402134542124
0.1,20,bAUTO,1000,50,117,0.21807008236637454,0.08267284901111702
0.1,20,bAUTO,1000,100,130,0.2100854045625117,0.06128776541498311
0.1,20,bAUTO,1000,200,135,0.1805230180976128,0.05139944150387537
0.1,20,bAUTO,1000,500,138,0.17583941088243463,0.04158640663524824
0.1,20,bAUTO,1000,1000,125,0.17172570649315314,0.03538561178117038
0.3,1,bAUTO,50,50,199,0.4811814252607399,0.4142798130581956
0.3,1,bAUTO,100,50,195,0.5332395846126398,0.42724919749299545
0.3,1,bAUTO,100,100,196,0.4111939181691892,0.3993890622366404
0.3,1,bAUTO,200,50,192,0.5195835101266251,0.41185440320444805
0.3,1,bAUTO,200,100,196,0.4347082819109691,0.40550913850672804
0.3,1,bAUTO,200,200,199,0.47454655824819836,0.38552978887456385
0.3,1,bAUTO,500,50,188,0.5448926198653316,0.42624588231641214
0.3,1,bAUTO,500,100,189,0.4950470727040985,0.4052791360300942
0.3,1,bAUTO,500,200,191,0.4674596524887751,0.386501260820103
0.3,1,bAUTO,500,500,188,0.49366665622604755,0.36900239835567217
0.3,1,bAUTO,1000,50,177,0.5360647484598594,0.42343410640053575
0.3,1,bAUTO,1000,100,182,0.47841093519961386,0.4036255631096545
0.3,1,bAUTO,1000,200,187,0.4811944871627181,0.3907517678029244
0.3,1,bAUTO,1000,500,181,0.48881576042937597,0.3635278953316154
0.3,1,bAUTO,1000,1000,196,0.4540326575495208,0.344549114102535
0.3,2,bAUTO,50,50,198,0.322149475182776,0.26687332317942264
0.3,2,bAUTO,100,50,199,0.32268763186796284,0.26869228208915386
