alpha,dim,b,xsize,ysize,count,mean,std
0.1,10,b0.01,500,50,109,0.3040878947274936,0.0868522593550641
0.1,10,b0.01,500,100,117,0.2945099897027053,0.05935045224791574
0.1,10,b0.01,500,200,117,0.2764609407111824,0.06111840733125428
0.1,10,b0.01,500,500,128,0.24312186841529004,0.06616993262519041
0.1,10,b0.01,1000,50,110,0.32713898189709917,0.086744445267548
0.1,10,b0.01,1000,100,113,0.29669043368954545,0.06632930527984988
0.1,10,b0.01,1000,200,114,0.27625168066613687,0.05071412879030438
0.1,10,b0.01,1000,500,122,0.25290475585065014,0.04199388002910096
0.1,10,b0.01,1000,1000,130,0.23348147876888603,0.05378303617131802
0.1,20,b0.01,50,50,144,0.21644679088051455,0.12591054201957202
0.1,20,b0.01,100,50,129,0.23175101697543074,0.11811222902646976
0.1,20,b0.01,100,100,148,0.2169433719003397,0.0929538220893176
0.1,20,b0.01,200,50,119,0.25213488752567387,0.08861732988171096
0.1,20,b0.01,200,100,122,0.22743273513341794,0.07965810957241143
0.1,20,b0.01,200,200,141,0.21547087815335064,0.069565731179715
0.1,20,b0.01,500,50,117,0.2646715347514892,0.07316411538367308
0.1,20,b0.01,500,100,115,0.2477524208100297,0.06944958045992773
0.1,20,b0.01,500,200,125,0.2331143475043909,0.05079525091812413
0.1,20,b0.01,500,500,137,0.21749204074508377,0.045522699350422996
0.1,20,b0.01,1000,50,101,0.2713204822718542,0.06393032379733307
0.1,20,b0.01,1000,100,113,0.2619416313531183,0.047374564712714215
0.1,20,b0.01,1000,200,135,0.23194118548760442,0.04638578582012075
0.1,20,b0.01,1000,500,114,0.21763212030286402,0.03972327097208779
0.1,20,b0.01,1000,1000,124,0.20054977076916106,0.050871317277119264
0.3,1,b0.01,50,50,193,0.37583318325487414,0.4624492896036321
0.3,1,b0.01,100,50,189,0.5219766667387696,0.46968631780356546
0.3,1,b0.01,100,100,187,0.46644050035393014,0.46729540264278413
0.3,1,b0.01,200,50,167,0.49348406526453437,0.47493001200065105
0.3,1,b0.01,200,100,177,0.47213949236848657,0.4620037549175751
0.3,1,b0.01,200,200,164,0.49503311443134873,0.45935899654195733
0.3,1,b0.01,500,50,143,0.6293141238324406,0.4497153074523748
0.3,1,b0.01,500,100,145,0.622241359189243,0.4459493092136104
0.3,1,b0.01,500,200,133,0.6081192459826482,0.4324864065668894
0.3,1,b0.01,500,500,137,0.6076247410687258,0.42644190613505223
0.3,1,b0.01,1000,50,119,0.7691072899667086,0.37378935584557393
0.3,1,b0.01,1000,100,109,0.7899595431563381,0.3581845111983841
0.3,1,b0.01,1000,200,111,0.792480674940067,0.3376676922355924
0.3,1,b0.01,1000,500,97,0.8093338726062457,0.2654827692995054
0.3,1,b0.01,1000,1000,113,0.7299252005034143,0.3059149754074339
0.3,2,b0.01,50,50,188,0.34950675833498823,0.35754966051102727
0.3,2,b0.01,100,50,180,0.3237280912811715,0.35158175777094325
0.3,2,b0.01,100,100,175,0.29579429704196203,0.3267504873939322
0.3,2,b0.01,200,50,145,0.4082918084897376,0.36061532254390466
0.3,2,b0.01,200,100,146,0.35674759912505455,0.2955416222338091
0.3,2,b0.01,200,200,160,0.3116355088591391,0.28614285517561566
0.3,2,b0.01,500,50,101,0.5134740313157582,0.3338762807983168
0.3,2,b0.01,500,100,119,0.46980105451473125,0.29115888593052813
0.3,2,b0.01,500,200,125,0.4211880683298922,0.2330854486763666
0.3,2,b0.01,500,500,117,0.3678732549021716,0.17793167712175703
0.3,2,b0.01,1000,50,90,0.6454188171547381,0.2716372931279408
0.3,2,b0.01,1000,100,102,0.5664719490161345,0.2227856644414983
0.3,2,b0.01,1000,200,104,0.4972674070187641,0.1831444816580955
0.3,2,b0.01,1000,500,109,0.4233490782938747,0.1317348888977753
0.3,2,b0.01,1000,1000,110,0.3683317852624627,0.13868067638999093
0.3,5,b0.01,50,50,170,0.286525316685866,0.2285352623371211
0.3,5,b0.01,100,50,154,0.2850970069814555,0.22145690891955236
0.3,5,b0.01,100,100,162,0.2488125647175229,0.19967141747992168
0.3,5,b0.01,200,50,135,0.3264277691074854,0.20654895924824435
0.3,5,b0.01,200,100,136,0.3344423236369517,0.19167265055588367
0.3,5,b0.01,200,200,149,0.28857235314862806,0.1661280628452063
0.3,5,b0.01,500,50,119,0.41067842656218134,0.14222208203619086
0.3,5,b0.01,500,100,117,0.37891351785539873,0.11886770452089525
0.3,5,b0.01,500,200,121,0.33649550524970845,0.10910497618787504
0.3,5,b0.01,500,500,136,0.3156970413144422,0.09313443286855799
0.3,5,b0.01,1000,50,106,0.4115610449220041,0.14045291579553387
0.3,5,b0.01,1000,100,120,0.3773705423924961,0.10284917504327544
0.3,5,b0.01,1000,200,124,0.3580570463687804,0.06512369326103344
0.3,5,b0.01,1000,500,129,0.32789605477902084,0.06297979431359575
0.3,5,b0.01,1000,1000,140,0.3073502961492708,0.06818294039981393
0.3,10,b0.01,50,50,171,0.2769841023208119,0.16349763316928725
0.3,10,b0.01,100,50,149,0.2973266879446146,0.14776123564882523
0.3,10,b0.01,100,100,161,0.28966116054850705,0.1265928672032175
0.3,10,b0.01,200,50,138,0.33929380721302277,0.11421354308596679
0.3,10,b0.01,200,100,143,0.3040493296943849,0.12584253434813192
0.3,10,b0.01,200,200,154,0.29879431831963493,0.09013199191557614
0.3,10,b0.01,500,50,125,0.3517992407737899,0.0694328659780726
0.3,10,b0.01,500,100,139,0.3263246270029334,0.08341488493640115
0.3,10,b0.01,500,200,146,0.31712648579987,0.05095446364892596
0.3,10,b0.01,500,500,172,0.29745615447748147,0.05755006244272563
0.3,10,b0.01,1000,50,130,0.3700612411396217,0.07825197961803484
0.3,10,b0.01,1000,100,123,0.33396668730937445,0.06642987357456244
0.3,10,b0.01,1000,200,151,0.3148160997035477,0.06337650432596699
0.3,10,b0.01,1000,500,181,0.3024860053566884,0.05021595904720813
0.3,10,b0.01,1000,1000,189,0.2942176508758388,0.029465208111841026
0.3,20,b0.01,50,50,168,0.3023825645775333,0.1036962264467119
0.3,20,b0.01,100,50,154,0.30772195955327414,0.08449658205197445
0.3,20,b0.01,100,100,176,0.2947391020625106,0.08037318796112707
0.3,20,b0.01,200,50,152,0.3166059519069942,0.07649610009288643
0.3,20,b0.01,200,100,170,0.3049593100663758,0.05715876150669825
0.3,20,b0.01,200,200,191,0.2952078291563338,0.05429161818122193
0.3,20,b0.01,500,50,146,0.32997909022532396,0.05871886589172098
0.3,20,b0.01,500,100,169,0.3129054760601993,0.05742282620973357
0.3,20,b0.01,500,200,192,0.29988564874319246,0.04583828593579533
0.3,20,b0.01,500,500,199,0.2990035975480276,0.029460540115309443
0.3,20,b0.01,1000,50,148,0.3183940678492058,0.06516035871763146
0.3,20,b0.01,1000,100,161,0.30822080066501495,0.053081510659287595
0.3,20,b0.01,1000,200,189,0.2950919507777981,0.051805628867907155
0.3,20,b0.01,1000,500,198,0.29664488529776706,0.027575204738168758
0.3,20,b0.01,1000,1000,200,0.296603169128872,0.018397212639540004
0.7,1,b0.01,50,50,191,0.4262489358269967,0.4689203817825539
0.7,1,b0.01,100,50,187,0.49727705389393057,0.47773425613455056
0.7,1,b0.01,100,100,184,0.4483799672178516,0.46840982448169166
0.7,1,b0.01,200,50,164,0.5172573339565526,0.47375065413993134
0.7,1,b0.01,200,100,169,0.5314017040119405,0.4639788308077059
0.7,1,b0.01,200,200,169,0.40592784061088527,0.4540465824360022
0.7,1,b0.01,500,50,142,0.6833866034458507,0.4258623917300166
0.7,1,b0.01,500,100,137,0.645026481486273,0.4290452493795572
0.7,1,b0.01,500,200,138,0.6604584377501274,0.40770733007368476
0.7,1,b0.01,500,500,135,0.619021496782484,0.41540173745158293
0.7,1,b0.01,1000,50,114,0.8252473958719806,0.32035930057360207
0.7,1,b0.01,1000,100,114,0.7961224343538434,0.34763882142309044
0.7,1,b0.01,1000,200,107,0.752660599666707,0.3542650624174461
0.7,1,b0.01,1000,500,118,0.719120210781944,0.3526234594988347
0.7,1,b0.01,1000,1000,106,0.6927895531149624,0.3493399724240654
0.7,2,b0.01,50,50,192,0.5475265637429941,0.3942144116331493
0.7,2,b0.01,100,50,183,0.5421434965672511,0.40142183821818905
0.7,2,b0.01,100,100,190,0.5899215817738019,0.3505078399901547
0.7,2,b0.01,200,50,174,0.6244778271167702,0.3879001203437283
0.7,2,b0.01,200,100,187,0.624875013935272,0.3289462164612853
0.7,2,b0.01,200,200,181,0.6508455440904221,0.237995391670854
0.7,2,b0.01,500,50,151,0.7437896276455058,0.25391091179287234
0.7,2,b0.01,500,100,165,0.7148889826490645,0.27118606423545394
0.7,2,b0.01,500,200,170,0.6564416707657406,0.2508066148610992
0.7,2,b0.01,500,500,192,0.6809428636811329,0.160782219893739
0.7,2,b0.01,1000,50,146,0.7861883142375335,0.21495308394746457
0.7,2,b0.01,1000,100,155,0.7622957786972483,0.20104836908685517
0.7,2,b0.01,1000,200,168,0.7301536571535273,0.1836166477417631
0.7,2,b0.01,1000,500,189,0.6923819392677385,0.17732613061000363
0.7,2,b0.01,1000,1000,193,0.6878360991560968,0.12014357582692396
0.7,5,b0.01,50,50,197,0.6901003476119272,0.1787900656475382
0.7,5,b0.01,100,50,195,0.6960878955818267,0.17301458288657673
0.7,5,b0.01,100,100,195,0.6929912430120212,0.12831109288419829
0.7,5,b0.01,200,50,193,0.7148453280314768,0.17612675812317377
0.7,5,b0.01,200,100,197,0.7048255009381118,0.13029939240446048
0.7,5,b0.01,200,200,197,0.7095343135729666,0.09209597242859001
0.7,5,b0.01,500,50,191,0.726883068639362,0.15877881865954194
0.7,5,b0.01,500,100,196,0.7080302538837092,0.12023925590415054
0.7,5,b0.01,500,200,197,0.6986133956029783,0.08798218185590917
0.7,5,b0.01,500,500,197,0.7027194726701028,0.05420688488977457
0.7,5,b0.01,1000,50,191,0.6984302810124051,0.17058269207054022
0.7,5,b0.01,1000,100,197,0.7017365769488949,0.12509857258534365
0.7,5,b0.01,1000,200,196,0.6939159802306606,0.102503227248935
0.7,5,b0.01,1000,500,194,0.7006339663077868,0.05721868820995192
0.7,5,b0.01,1000,1000,193,0.6993656288101799,0.043003684241293846
0.7,10,b0.01,50,50,193,0.6965042471706953,0.0963886002372785
0.7,10,b0.01,100,50,193,0.6958309389945875,0.10734677871648496
0.7,10,b0.01,100,100,193,0.6996340243123563,0.0746869824849825
0.7,10,b0.01,200,50,193,0.7056603840556891,0.09792684450276543
0.7,10,b0.01,200,100,193,0.7063308301204817,0.07093311674908012
0.7,10,b0.01,200,200,193,0.6990351280221938,0.05511090473432928
0.7,10,b0.01,500,50,193,0.6990719851940607,0.09859230749120805
0.7,10,b0.01,500,100,193,0.7004287300481463,0.07606297123572253
0.7,10,b0.01,500,200,192,0.7065607685275871,0.05070687565815459
0.7,10,b0.01,500,500,191,0.7046941148494534,0.032234398344936875
0.7,10,b0.01,1000,50,190,0.7117986806754968,0.09689016501961865
0.7,10,b0.01,1000,100,188,0.7005853798329528,0.07323674822166665
0.7,10,b0.01,1000,200,187,0.6983895014562649,0.04736008129211144
0.7,10,b0.01,1000,500,186,0.701279633400727,0.03229619743946397
0.7,10,b0.01,1000,1000,184,0.6976858429484705,0.022782394815628017
